time,step,loss/stage3_score_loss
1752682953.9176383,66758,0.002685378072783351
1752682953.9180455,66798,0.002678520744666457
1752682953.9181666,66838,0.002499154070392251
1752682953.9182966,66878,0.0028302662540227175
1752682953.9184048,66918,0.0027174241840839386
1752682953.9185162,66958,0.002725330414250493
1752682953.9186387,66998,0.0026647327467799187
1752682953.9187555,67038,0.00291353277862072
1752682953.918865,67078,0.002618925180286169
1752682953.9189715,67118,0.002472758525982499
1752682953.9190784,67158,0.002520758891478181
1752682953.919185,67198,0.00287187029607594
1752682953.9192915,67238,0.002643293235450983
1752682953.9193962,67278,0.0028043966740369797
1752682953.9195032,67318,0.0027237804606556892
1752682953.919608,67358,0.002861816668882966
1752682953.9197133,67398,0.0027958645951002836
1752682953.919818,67438,0.0027146553620696068
1752682953.9199226,67478,0.002749165054410696
1752682953.920028,67518,0.0026564355939626694
1752682953.9201336,67558,0.0027391589246690273
1752682953.9202933,67598,0.0027939535211771727
1752682953.9204571,67638,0.0027469759806990623
1752682953.920587,67678,0.002845700364559889
1752682953.9207387,67718,0.002822011010721326
1752682953.920856,67758,0.0025671711191534996
1752682953.9209685,67798,0.0027773065958172083
1752682953.9210804,67838,0.002646475797519088
1752682953.9211903,67878,0.00274645141325891
1752682953.9213016,67918,0.0025639282539486885
1752682953.9214091,67958,0.002628485206514597
1752682953.9215155,67998,0.0027576724532991648
1752682953.9216251,68038,0.0027245914097875357
1752682953.921732,68078,0.002754317596554756
1752682953.9218583,68118,0.0028797730337828398
1752682953.9219668,68158,0.0027330496814101934
1752682953.9220738,68198,0.0025496119633316994
1752682953.9222052,68238,0.002541201887652278
1752682953.9223309,68278,0.0027239196933805943
1752682953.9224405,68318,0.0026960927061736584
1752682953.9225624,68358,0.0026334766298532486
1752682953.9226942,68398,0.0025642220862209797
1752682953.9228077,68438,0.002813587663695216
1752682953.9229214,68478,0.002869910094887018
1752682953.9230478,68518,0.002865751273930073
1752682953.9231668,68558,0.0026358214672654867
1752682953.9232845,68598,0.0027740919031202793
1752682953.9233868,68638,0.002713199472054839
1752682953.9234962,68678,0.0026611273642629385
1752682953.9236038,68718,0.002803188981488347
1752682953.9237115,68758,0.0027571548707783222
1752682953.9238188,68798,0.0026636477559804916
1752682953.9239755,68838,0.0027745740953832865
1752682953.9239936,68878,0.002980630612000823
1752682953.924129,68918,0.002670111134648323
1752682953.9242425,68958,0.0026728929951786995
1752682953.9243543,68998,0.002584230387583375
1752682953.9244676,69038,0.0026797510217875242
1752682953.9245899,69078,0.002829774981364608
1752682953.9247181,69118,0.002563267946243286
1752682953.9248326,69158,0.0028632888570427895
1752682953.9249437,69198,0.0028960215859115124
1752682953.9250515,69238,0.0027411135379225016
1752682953.925161,69278,0.0026448226999491453
1752682953.9252696,69318,0.0026806294918060303
1752682953.9253776,69358,0.002740050433203578
1752682953.9255726,69398,0.0025747856125235558
1752682953.9257536,69438,0.002633259864524007
1752682953.9257755,69478,0.0025335438549518585
1752682953.9259267,69518,0.0024758544750511646
1752682953.9260683,69558,0.0026689840015023947
1752682953.9261773,69598,0.002685111714527011
1752682953.9262989,69638,0.0026453700847923756
1752682953.92641,69678,0.0027661332860589027
1752682953.9265218,69718,0.002679093275219202
1752682953.9270148,69758,0.002677089301869273
1752682953.927033,69798,0.002565685659646988
1752682953.927162,69838,0.0025446151848882437
1752682953.9273083,69878,0.0026648554485291243
1752682953.927423,69918,0.002794013125821948
1752682953.9275339,69958,0.0026543319690972567
1752682953.9276435,69998,0.0027574333362281322
1752682953.927765,70038,0.0027452141512185335
1752682953.9278762,70078,0.0027245257515460253
1752682953.9279988,70118,0.0026353851426392794
1752682953.9281216,70158,0.00245030433870852
1752682953.9282277,70198,0.0027931309305131435
1752682953.9283383,70238,0.0027281155344098806
1752682953.9284515,70278,0.0026117919478565454
1752682953.9285495,70318,0.002520947018638253
1752682953.9287202,70358,0.002659717109054327
1752682953.9288127,70398,0.0027716998010873795
1752682953.9289715,70438,0.002600656356662512
1752682953.9290874,70478,0.0024725543335080147
1752682953.9292047,70518,0.0025986998807638884
1752682953.929318,70558,0.0028205730486661196
1752682953.9294271,70598,0.002661277074366808
1752682953.929538,70638,0.002856422448530793
1752682953.9296675,70678,0.002758627524599433
1752682953.929798,70718,0.002795155392959714
1752682953.9299173,70758,0.0026470820885151625
1752682953.9300373,70798,0.0026129544712603092
1752682953.9302428,70838,0.0026702547911554575
1752682953.9308395,70878,0.002660371595993638
1752682953.9308627,70918,0.0026108643505722284
1752682953.930878,70958,0.0027177908923476934
1752682953.9308915,70998,0.0028193031903356314
1752682953.9309046,71038,0.0026884148828685284
1752682953.930917,71078,0.0025927789974957705
1752682953.9309292,71118,0.002769134007394314
1752682953.9309425,71158,0.0026927231810986996
1752682953.9309545,71198,0.0026106282602995634
1752682953.9312975,71238,0.0026918251533061266
1752682953.9313161,71278,0.002570046577602625
1752682953.93133,71318,0.0026125810109078884
1752682953.9313426,71358,0.002736153546720743
1752682953.9313552,71398,0.0026855338364839554
1752682953.9315155,71438,0.002744583413004875
1752682953.9315293,71478,0.0027050720527768135
1752682953.931662,71518,0.0026540388353168964
1752682953.9316754,71558,0.002745614154264331
